Finmeccanica,Italy
Intermarine S.p.A. (Intermarine),Italy
Iveco Defence Vehicles,Italy
Franchi,Italy
Sabatti,Italy
Vulcanair,Italy
Daikin,Japan
Fuji Heavy Industries (FHI),Japan
Hakodate Dock,Japan
Hitachi,Japan
Hitachi Zosen Corporation,Japan
Howa,Japan
IHI Corporation,Japan
Japan Steel Works,Japan
Kawasaki Heavy Industries (KHI),Japan
Komatsu Limited,Japan
Toshiba Heavy Industries,Japan
Minebea,Japan
Mitsubishi Group (Mitsubishi),Japan
Mitsui Engineering & Shipbuilding,Japan
Sasebo Heavy Industries (SSK),Japan
ShinMaywa,Japan
Sumitomo Heavy Industries (SHI),Japan
KADDB,Jordan
ICEMAK Ltd,Republic of Macedonia
DRB-HICOM Defense Technologies (Deftech),Malaysia
SME Ordnance Sdn Bhd (SMEO),Malaysia
"Industrias Tecnos, S.A. de C.V. (TECNOS)",Mexico
"Productos Mendoza,S.A.",Mexico
Damen Group,Netherlands
Dutch Special Marine Group (DSMG),Netherlands
Kongsberg Defence & Aerospace AS (KDA),Norway
Nordic Ammunition Company (Nammo),Norway
Umoe Mandal,Norway
Air Weapons Complex (AWC),Pakistan
Global Industrial Defence Solutions (GIDS),Pakistan
Heavy Industries Taxila (HIT),Pakistan
Karachi Shipyard,Pakistan
National Engineering and Scientific Commission (NESCOM),Pakistan
Pakistan Aeronautical Complex (PAC),Pakistan
Pakistan Ordnance Factories (POF),Pakistan
Desarrollos Industriales Casanave,Peru
SIMA Peru,Peru
Armscor,Philippines
Government Arsenal,Philippines
Ferfrans,Philippines
Floro,Philippines
United Defense Manufacturing Corporation (UDMC),Philippines
AMZ-Kutno,Poland
Huta Stalowa Wola (HSW),Poland
"Fabryka Broni ""Łucznik"" - Radom",Poland
Polish Defence Holding,Poland
Wojskowe Zakłady Mechaniczne (WZM),Poland
Zakłady Mechaniczne Tarnów,Poland
INDEP,Portugal
EMPORDEF,Portugal
Romanian Aeronautic Industry (IAR),Romania
Roman,Romania
Romtehnica,Romania
Romarm(ro:Romarm),Romania
Almaz-Antey,Russia
Baikal,Russia
Bazalt,Russia
Degtyarev Plant,Russia
GAZ Group,Russia
Kalashnikov Concern (formerly Izhmash and Izhevsk Mechanical Plant),Russia
KBM,Russia
KBP Instrument Design Bureau,Russia
Klimovsk Specialized Ammunition Plant,Russia
Kurganmashzavod,Russia
Military Industrial Company,Russia
Motovilikha Plants,Russia
Omsktransmash,Russia
ORSIS,Russia
Rosoboronexport,Russia
Russian Helicopters,Russia
Tactical Missiles Corporation (KTRV),Russia
Trident Aluminium boats,Russia
TsNIITochMash,Russia
United Aircraft Corporation (UAC),Russia
United Shipbuilding Corporation,Russia
Uralvagonzavod (UVZ),Russia
Abdallah Al Faris Company for Heavy Industries,Saudi Arabia
SAUDI Groups,Saudi Arabia
Utva Aviation Industry (commonly known as UTVA),Serbia
Yugoimport SDPR,Serbia
Zastava Arms,Serbia
Greenbay Marine Pte Ltd,Singapore
ST Engineering,Singapore
Suncraft,Singapore
DMD Group,Slovakia
Grand Power,Slovakia
MAGIC TRADING CORPORATION,Slovakia
VYVOJ Martin,Slovakia
Sistemska tehnika Armas,Slovenian
Arex d.o.o.,Slovenian
DCD,South Africa
Denel SOC Ltd (Denel),South Africa
Milkor,South Africa
Paramount Group,South Africa
Truvelo Armoury,South Africa
Dasan Machineries Company,South Korea
Doosan DST,South Korea
Kangnam Corporation,South Korea
Hanjin Heavy Industries,South Korea
Hanwha,South Korea
Hyundai Group,South Korea
Korea Aerospace Industries (KAI),South Korea
KAL-ASD,South Korea
LIG nex1,South Korea
Poongsan Corporation,South Korea
S&T Motiv (formerly S&T Daewoo and previously Daewoo Precision Industries),South Korea
Samsung Techwin,South Korea
STX Offshore & Shipbuilding,South Korea
Aresa Internacional Group,Spain
ASTAR,Spain
Expal,Spain
Fluidmecanica Sur,Spain
Instalaza,Spain
Navantia,Spain
Rodman Group,Spain
SENER,Spain
Colombo Dockyard PLC (CDPLC),Sri Lanka
Military Industry Corporation,Sudan
Safat Aviation Complex (SAC),Sudan
Dockstavarvet,Sweden
Saab AB,Sweden
Swede Ship Marine AB,Sweden
"A.M.S.D.
Advanced Military Systems Design",Switzerland
Astra Arms,Switzerland
Brügger & Thomet (B&T),Switzerland
Pilatus Aircraft,Switzerland
RUAG,Switzerland
Sphinx Systems Ltd.,Switzerland
"Swiss Arms
(US subsidiary known as SIG Sauer)",Switzerland
Asian Marine Services Public Company Limited (Asian Marine Services or ASIMAR),Thailand
Chaiseri Metal & Rubber,Thailand
Italthai Marine Limited,Thailand
Marsun Company Limited (MCL),Thailand
Thai Aviation Industry,Thailand
ASELSAN,Turkey
BMC,Turkey
Duzgit Group,Turkey
FNSS,Turkey
HAVELSAN,Turkey
Katmerciler,Turkey
Mechanical and Chemical Industry Corporation (MKEK),Turkey
Nurol Makina,Turkey
Otokar,Turkey
ROKETSAN,Turkey
Sarsılmaz,Turkey
Trabzon Silah Sanayi AŞ(TİSAŞ),Turkey
Turkish Aerospace Industries (TAI),Turkey
Abu Dhabi MAR (ADM),UAE
Bin Jabr Group Ltd.,UAE
Tawazun Holding (Tawazun) (also known as Tawazun Group),UAE
Accuracy International (AI),UK
BAE Systems,UK
Birmingham Small Arms Company,UK
BMT Limited,UK
Britten-Norman (widely known simply as BN，trading name as B-N Group Limited or BNG),UK
Griffon Hoverwork,UK
Holland & Holland,UK
Holyhead Marine Services Ltd (Holyhead Marine),UK
Insys,UK
James Purdey and Sons Ltd.,UK
Manroy Engineering Ltd.,UK
Morgan Advanced Materials Composites and Defence Systems,UK
Penman Group,UK
Rangemaster Precision Arms,UK
Royal Ordnance,UK
Sterling Armaments Company,UK
Supacat,UK
Webley & Scott,UK
W. W. Greener,UK
Antonov,Ukraine
